,español,ingles
702, de un cuadro claro del destino que desean,of a clear picture of the destination they want
703, y aun cuando se les presenta una oportunidad magnifica,and even when you have a great opportunity
704, no tienen la capacidad de verla y de edificar un sueño sobre ella. En 1866 un aficionado a la geologia observo a unos niños suda- fricanos que jugaban con una piedra brillante. Intrigado,they do not have the capacity to see it and to build a dream about it. In 1866 an amateur geologist observed some South African children playing with a shiny stone. Intrigued
705, le pidio a la madre de los niños si podia comprarla. Ella le dijo que no tenia valor alguno y sencillamente se la entrego. Posteriormente,He asked the mother of the children if he could buy it. She told him that it had no value and simply handed it to her. Later
706, al examinarlo de cerca,when examining it closely
707, se confirmo su corazonada: era un diamante. El calculo su peso en veintiun quilates. 1 Cuando otros se enteraron de este y de otros descubrimientos,his hunch was confirmed: it was a diamond. He calculated his weight in twenty-one carats. 1 When others learned about this and other discoveries
708, un minerologo escoces llamado James Gregory fue enviado a investigar. El informo que Sudafrica no era un lugar adecuado para la formacion de diamantes. Especulo que los descubrimientos previos habian sido el resultado de avestruces,A Scottish minerologist named James Gregory was sent to investigate. He informed that South Africa was not a suitable place for diamond formation. I speculate that the previous discoveries had been the result of ostriches
709, quien lo iba a decir,Who was going to say it
710, que habian ingerido las gemas en alguna tierra distante y las habian depositado en Suda- frica con su estiercol. Pocos dias despues de lanzado el informe de Gregory al publico,that they had ingested the gems in some distant land and deposited them in South Africa with their manure. A few days after the release of Gregory's report to the public
711, se hallo un diamante de ochenta y tres quilates en la zona que el habia examinado. Hoy se le conoce como la Estrella de Sudafrica,He found a diamond of eighty-three carats in the area he had examined. Today it is known as the Star of South Africa
712, y lanzo la primera operacion minera de la region que en la actua- lidad es la productora mas grande de diamantes del mundo.  Que sucedio con Gregory? Su nombre perdura,and launched the first mining operation in the region that is currently the largest producer of diamonds in the world. What happened to Gregory? His name endures
713, pero no como el lo habria querido. En la industria de los diamantes,but not as he would have liked it. In the diamond industry
714, cuando alguno exhibe un criterio malo,when someone exhibits a bad criterion
715, se conoce como hacer un Gregory. 2  45  i Vive tu sueño!  Entre las personas que acudieron en masa a Sudafrica durante la fiebre de los diamantes se hallaba Cecil Rhodes,It is known as making a Gregory. 2 45 i Live your dream! Among the people who flocked to South Africa during the diamond rush was Cecil Rhodes
716, un joven brita- nico que soñaba con el exito. El y su hermano vieron el potencial de la mineria de diamantes en la zona y compraron tantos terrenos como pudieron. Tambien compraron una maquina de hacer hielo en Inglaterra,a young Briton who dreamed of success. He and his brother saw the potential of diamond mining in the area and bought as much land as they could. They also bought an ice machine in England
717, la cual trajeron a Africa para poder venderles hielo a los mineros que luchaban con el calor. Utilizaron sus ganancias para comprar mas terrenos con posibilidades mineras. En la decada de 1880,which they brought to Africa to be able to sell ice to the miners who were struggling with the heat. They used their profits to buy more land with mining possibilities. In the 1880s
718, Rhodes fundo la empresa De Beers,Rhodes founded the company De Beers
719, la productora de diaman- tes mas grande del mundo. 3   Como describirias tu vision cuando se trata de tu sueño?  Aceptas ciegamente el estado actual de las cosas?  O miras las cosas con los ojos bien abiertos,the largest diamond producer in the world. 3 How would you describe your vision when it comes to your dream? Do you blindly accept the current state of affairs? Or you look at things with wide eyes
720, buscando posibilidades mayores? Y cuando ves estas cosas,looking for bigger possibilities? And when you see these things
721,  tienes un deseo suficientemente serio de convertir un sueño en realidad como para ponerlo a prueba por medio de defi- nirlo con claridad?  Estas dispuesto a describirlo en detalles,Do you have a serious enough desire to make a dream come true to test it by clearly defining it? You are willing to describe it in detail
722, ponerlo por escrito y contarselo a otros?  Solo aquellos que ven su sueño son capaces de aprovecharlo.  Si no lo estas,put it in writing and tell others? Only those who see their dream are able to take advantage of it. If you are not
723, entonces te has colocado en desventaja. Solo aquellos que ven su sueño son capaces de aprovecharlo. Si puedes responder a la pregunta de la claridad con un si porque ves tu sueño con claridad,then you have placed yourself at a disadvantage. Only those who see their dream are able to take advantage of it. If you can answer the question of clarity with a yes because you see your dream clearly
724, entonces habras aumentado significativamente las pro- babilidades de que un dia llegues a hacer mas que solo ver tu sueño,then you will have significantly increased the probabilities that one day you will do more than just see your dream
725, ;lo viviras!  46   PUEDES RESPONDER AFIRMATIVAMEN- TE A LA PREGUNTA DE LA CLARIDAD:  PUEDO VER MI SUEÑO CLARAMENTE?  Es hora de darle claridad a tu sueño,you will live it! 46 CAN YOU ANSWER AFFIRMATIVELY TO THE QUESTION OF CLARITY: CAN I SEE MY DREAM CLEARLY? It's time to clarify your dream
726, de darle detalle. Si tienes una idea genetal de tu sueño,to give details. If you have a genetic idea of your dream
727, podrias sentirte tentado a empezar a crear tu estrategia. No lo hagas aun. Como lo afirmo Mike Hyatt,You might be tempted to start creating your strategy. Do not do it yet. As stated by Mike Hyatt
728, es nece- sario tener una vision primero. Empieza por escribir una descripcion detallada de tu sueño. Dale rienda suelta a tu imaginacion. Escribe tantos elementos o partes de ella como puedas. No te detengas hasta que tengas mas de lo eme creas que necesitas. Ahora cuantifica todo lo que puedas. Conviertelo en algo que puedas evaluar. No te preocupes de como llegaras alla. Se osado,It is necessary to have a vision first. Start by writing a detailed description of your dream. Give your imagination a free rein. Write as many elements or parts of it as you can. Do not stop until you have more of what you think you need. Now quantify everything you can. Turn it into something you can evaluate. Do not worry about how you will get there. He dared
729, se audaz,be bold
730, !-sueña en grande! El siguiente paso consiste en declarar tu sueño de modo conciso por esetito. Mike desgloso su sueño en diez elementos claros y capaces de ser evaluados. Haz algo similar con tu sueño. El numero de elementos no importa,!-dream big! The next step is to declare your dream in a concise way by little. Mike broke his dream into ten clear elements capable of being evaluated. Do something similar with your dream. The number of elements does not matter
731, pues sencillamente debe corresponder con el sueño,because it simply must correspond with the dream
732, pero trata de mantenerlo reducido. No esperes ser capaz de terminar todo el proceso en una sola sesion. Para la mayoria de las personas,but try to keep it reduced. Do not expect to be able to finish the whole process in one session. For most people
733, eso no es posible. En lugar de ello,that is not possible. In stead of
734, dale tiempo. Tal vez quieras apartarte en un retiro para iniciar el proceso. Si puedes separarte de tu entorno habitual o de tu rutina por un par de dias,give it time. Maybe you want to get away in a retreat to start the process. If you can separate yourself from your usual environment or your routine for a couple of days
735, podrias lograr la mayor parte de la tarea. De lo contrario,You could achieve most of the task. On the contrary
736, saca un dia para soñar y luego retorna al proceso unas cuantas horas por vez en las semanas subsiguientes. No olvides tu meta de expresar tu sueño de la forma mas clara y especifica posible. Mantenlo delante de ti para que puedas verlo todos los dias.  47  CAPITULO 3  La pregunta de la realidad:  Estoy dependiendo de factores bajo mi control para lograr mi sueño?  La nulidad... es enemiga de las fantasias pero no de los sueños.  RUDY RUKTTICER  Los sueños,Take a day to dream and then return to the process a few hours at a time in the following weeks. Do not forget your goal to express your dream in the clearest and most specific way possible. Keep it in front of you so you can see it every day. 47 CHAPTER 3 The reality question: Am I depending on factors under my control to achieve my dream? The nullity ... is the enemy of fantasies but not of dreams. RUDY RUKTTICER Dreams
737, por definicion,by definition
738, no estan supuestos a empezar con la realidad. Se supone que sean fantasticos,they are not supposed to start with reality. They are supposed to be fantastic
739, increibles,incredible
740, fuera de serie. Despues de todo,out of series. After all
741, nacen de esperanzas,They are born of hope
742, deseos y posibilidades. Son producto de la imaginacion y creatividad. No obstante,wishes and possibilities. They are products of imagination and creativity. However
743, eso tambien presenta un problema.  Acaso vale la pena seguir un sueño si no tiene posibilidades de convertirse en realidad? Creo que no. Muchos han sido engañados cuando se trata de los sueños. Han escuchado a padres,that also presents a problem. Is it worthwhile to follow a dream if it has no chance of becoming a reality? I think not. Many have been deceived when it comes to dreams. They have listened to parents
744, educadores y oradores decir cosas tales como: Puedes ir tan lejos como te lleven tus sueños,Educators and speakers say things such as: You can go as far as your dreams take you
745, o Si lo crees,o If you think so
746, puedes lograrlo. Han leido las palabras de Edmund O\'Neil,you can achieve it. They have read the words of Edmund O \ 'Neil
747, quien afirmo acerca de los soñadores: Tienes la capacidad de lograr lo que buscas,who affirmed about the dreamers: You have the ability to achieve what you are looking for
748," dentro de ti esta todo el potencial que puedas imaginar. Siempre  48  IJ"" Mi l ICIIIMO I J l.| 1.1 lOgl.ll lili Slll\'f t  apunta mas alto de lo que creas que puedes lograr. Con frecuencia descubriras que puedes lograr cualquier meta. !-Que patraña! No creo que eso sea cierto acerca de tus sueños","Within you is all the potential you can imagine. Always 48 IJ ""My First I llllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll true about your dreams"
749, ni tampoco de los mios. Si,nor of mine. Yes
750, hay que apuntar alto. Sin embatgo,you have to aim high. Without interruption
751, no tenemos la capacidad de logtar cualquier cosa que busquemos. No poseo la capacidad de lograr todo el potencial que me imagine. No creo que pueda lograr cualquier meta. Eso no es realidad. El escritot Richard Badb afirma algo similar: Nunca se te da un deseo sin que tambien se te conceda la facultad de convertirlo en realidad. Si piensas en eso aunque sea por un instante de modo racional,we do not have the capacity to accomplish anything we seek. I do not have the capacity to achieve all the potential that I imagine. I do not think I can achieve any goal. That is not reality. The writing Richard Badb says something similar: You never give a wish without also being granted the ability to make it a reality. If you think about it even for a moment rationally
752, te das cuenta que no es cierto. En algun momento,you realize that it is not true. Sometime
753, casi todo niño sueña con ser capaz de volar como un ave.  No seria fan- tastico lograrlo? Pues eso no sucedera,almost every child dreams of being able to fly like a bird. Would not it be fantastical to achieve it? Well that will not happen
754, no importa cuan claramente me lo imagine.  MENTALIDAD INCORRECTA EN CUANTO AL EXITO  Si dudas del hecho que la gente se ttaga estas promesas falsas,it does not matter how clearly I imagine it. INCORRECT MENTALITY REGARDING SUCCESS If you doubt the fact that people will follow these false promises
755, todo lo que tienes que hacer es ver el programa de television American Idol. Si lo has visto,All you have to do is watch the American Idol television show. If you have seen it
756, sabes a que me refiero. Decenas de miles de personas se inscriben para las eliminatorias de American Idol,you know what I mean. Tens of thousands of people sign up for the American Idol playoffs
757, pero usualmente solo los mejores,but usually only the best
758, y los peores,and the worst
759, reciben la oportunidad de presentarse delante de los jueces,they receive the opportunity to appear before the judges
760, quienes escogen a concursantes para ganarse un contrato de grabacion.  Algunos de los concursantes no tienen ni la mas minima idea en cuanto a si mismos y sus habilidades. Desentonan,who choose contestants to win a recording contract. Some of the contestants do not have the slightest idea about themselves and their abilities. Decoup
761, chillan,shriek
762, braman y aullan. Entonces les dicen a todos lo orgullosos y ferozmente  49  !-Vive tu sueño!  5\xb0  I onliados que se sienten de su talento,bray and howl. Then they tell everyone proudly and fiercely 49! -Live your dream! 5 \ xb0 Ilians who feel of their talent
763, aun los que nunca han cantado <ii publico en su vida. Y cuando los jueces  un musico y productor profesional,even those who have never sung <ii publish in his life. And when the judges a professional musician and producer
764, una artista con seis discos que llegaron al primer lugar y un ejecutivo de un sello disquero (con un total combinado de sesenta años de experiencia)  les dicen que no tienen suficiente para avanzar,an artist with six records that came in first place and an executive of a record label (with a combined total of sixty years of experience) tell them they do not have enough to advance
765, estos soñadores echan rabietas,these dreamers throw temper tantrums
766, escupen insultos y pro- nuncian: !-Pues esas son sus opiniones! !-Soy excelente! Tengo que admitir que algunas de las eliminatorias me resultan entretenidas,"They spit insults and proclaim: ""Well, those are your opinions! !-I am excellent! I have to admit that some of the heats are fun for me"
767, pero no puedo evitar preguntarme donde se encuen- tran los amigos y familiares de los que hacen la audicion.  No hay nadie que les haya dicho la verdad acerca de si mismos?  Nadie les ha dado un toque de realidad? !-Todos salvo los concursantes saben que carecen totalmente de los calificativos necesarios para alcanzar su sueño! Creer en un sueño no basta. Quererlo con desesperacion no basta.  Acaso no sienten pasion estos concursantes por su sueño? Si.  Estan comprometidos con su sueño? Si,but I can not help but wonder where the friends and family of those who audition are. Is there no one who has told you the truth about themselves? Has anyone given you a touch of reality? ! - All except the contestants know that they totally lack the necessary qualifications to achieve their dream! Believing in a dream is not enough. Wanting it with despair is not enough. Do not these contestants feel passion for their dream? Yes. Are you committed to your dream? Yes
768, por lo menos en ese momento.  Lograran su sueño de ser el ganador de American Idol?. !-No!  Por que? Porque su sueño nunca ha tenido un encuentro con la realidad.  TALENTO,at least at that time. They will achieve their dream of being the winner of American Idol ?. !-Do not! Why? Because his dream has never had an encounter with reality. TALENT
769, TRABAJO DURO Y UN SUEÑO  Contraste eso con la historia de Andy Hull,HARD WORK AND A DREAM Contrast that with the story of Andy Hull
770, hijo de John Hull,son of John Hull
771, presidenre y director ejecutivo de EQUIP y de Injoy Stewardship Services. A Andy siempre le ha encantado la musica. Su madre,president and executive director of EQUIP and Injoy Stewardship Services. Andy has always loved music. His mother
772, Sitaron,Sitaron
773, dice que Andy aprendio a cantar antes de aprender a hablar. Y mienttas que los padres de familia usualmente tienen que hacer  La pregunta de la realidad:  Estoy dependiendo de factores bajo mi control para lograr mi sueño?  5 1  !-Vive tu sueño!  y forjo un plan para avanzar. La mayoria de los musicos jovenes se entusiasman tanto con firmar con un sello disquero que ceden todos su derechos y asi pierden el control de su musica para poder ganar una buena cantidad de dinero de partida. El sello disquero les da un adelanto y luego se espera que la banda trabaje duro para recuperar ese dinero. Si la banda no percibe las ganancias que el sello deseaba,He says that Andy learned to sing before he learned to speak. And what parents usually have to ask The reality question: Am I depending on factors under my control to achieve my dream? 5 1! -Live your dream! and I forge a plan to move forward. Most young musicians are so enthusiastic about signing with a record label that they give up all their rights and lose control of their music to win a good amount of money. The record label gives them an advance and then the band is expected to work hard to recover that money. If the band does not perceive the profits that the label wanted
774, el sello deja ir a la banda,the seal lets the band go
775, y usualmente no se vuelve a escuchar de ella nunca mas. Andy tenia una idea diferente. No queria firmar un contrato grande y caer en esa trampa. En lugar de ello,and usually it is never heard from again. Andy had a different idea. I did not want to sign a big contract and fall into that trap. In stead of
776, queria lanzar su musica en linea y edificar la aficion por su banda por medio de giras. Tambien queria crear y promover su propio sello disquero. Lo bautizo con el nombre Favorite Gentlemen,I wanted to launch their music online and build the hobby for their band through tours. He also wanted to create and promote his own record label. I baptize him with the name Favorite Gentlemen
777, nombre inspirado por sus jugadores favoritos de los Bravos de Atlanta,name inspired by his favorite Atlanta Braves players
778, el equipo de beisbol. (Andy es muy aficionado a los deporres y seguia a los Bravos luego de haberse trasladado a Atlanta en la decada de 1990.) Rechazo varias ofertas de sellos disqueros hasta que hallo una que le parecio un buen trato: una asociacion con uno que no solo firmaria un contrato con la banda,the baseball team. (Andy is very fond of sports and followed the Braves after moving to Atlanta in the 1990s.) I reject several offers of record labels until I find one that seemed like a good deal: an association with one that not only I would sign a contract with the band
779, sino tambien con el sello Favorite Gentlemen. Andy finalmente hallo ese socio en Sony. Como parte del trato,but also with the stamp Favorite Gentlemen. Andy finally found that partner in Sony. As part of the deal
780, recibio mucho menos dinero como avance pero retuvo mucho mas control de su musica,he received much less money as an advance but retained much more control of his music
781, y recibio algo de dinero de Sony que pudo utilizar para contratar a otras bandas en su sello. La vision de Andy era crear una comunidad de artistas. Un ejecutivo le dijo a Andy que tenia el mejor plan comercial que jamas habia visto en un chico de apenas diecinueve años. Ahora que escribo estas palabras,and he received some money from Sony that he could use to hire other bands on his label. Andy's vision was to create a community of artists. An executive told Andy that he had the best business plan he had ever seen in a boy of just nineteen. Now that I write these words
782, Andy tiene veintiun años,Andy is twenty-one years old
783, es presidente de su sello disquero y ha contratado a diez bandas,he is president of his record label and has hired ten bands
784, las  52  que sus hijos practiquen la musica,the 52 that your children practice music
785, Sharon tenia que hacer que el se detuviera. Andy obtuvo su primera guitarra cuando tenia ocho años y natu- ralmente le puso dedicacion,Sharon had to make him stop. Andy got his first guitar when he was eight years old and naturally put his dedication
786, aprendiendo por si solo a tocar los acordes. Tambien tomo otros instrumentos y aprendio a tocarlos,learning by itself to play the chords. He also took other instruments and learned to touch them
787, tales como la trompeta y el piano,such as the trumpet and the piano
788, pero Sharon dice que parece tener una afinidad especial por los instrumentos de cuerda. No fue sorpresa alguna cuando formo su primera banda en el sexro grado. El y sus amigos acostumbraban tocar en un deposito con paredes de hormigon que quedaba cerca de su casa en Toronto. Para los trece años de edad,but Sharon says he seems to have a special affinity for string instruments. It was no surprise when he formed his first band in the sixth grade. He and his friends used to play in a warehouse with concrete walls that was close to his house in Toronto. For thirteen years of age
789, el y un amigo componian regularmente canciones por telefono,he and a friend regularly composed songs by phone
790, usando una grabadora para captar sus creaciones. Cuando Andy llego al bachillerato,using a recorder to capture his creations. When Andy arrived at the baccalaureate
791, estaba harto de la escuela. Estaba listo para dejar los estudios y buscar una carrera en musica. La respuesta de su padre fue:  Cual es tu plan? Andy lo penso un tanto y luego vino a sus padres con una propuesta: dejaria el bachillerato,I was sick of school. I was ready to leave school and look for a career in music. His father's response was: What is your plan? Andy thought about it a bit and then came to his parents with a proposal: he would leave the baccalaureate
792, estudiaria por si mismo en casa durante su ultimo año y durante ese tiempo grabaria un disco. Andy calculo que podria cumplir el trabajo escolar en aproximadamente dos horas al dia. Eso le daria tiempo para componer canciones,he would study by himself at home during his last year and during that time he would record an album. Andy calculated that he could complete school work in approximately two hours a day. That would give him time to compose songs
793, formar una banda,form a band
794, levantar fondos para pagar por el tiempo del estudio de grabacion y grabar un album. Sus padres accedieron y se entrego a la tarea. Tenia razon en cuanto al trabajo escolar,raise funds to pay for the time of the recording studio and record an album. His parents agreed and he gave himself to the task. He was right about school work
795, y ese año logro su meta de grabar un album,and that year he achieved his goal of recording an album
796, con la ayuda de una revista de musica que le dio algo de dinero para la grabacion. Aunque no lanzo ese album al mercado,with the help of a music magazine that gave him some money for the recording. Although I do not release that album to the market
797, el proceso le enseño mucho a Andy. Solidifico la banda,the process taught Andy a lot. Solidify the band
798, la cual bautizo con el nombre de Manchester Orchestra,which I baptize with the name of Manchester Orchestra
799, aprendio acerca del negocio de la musica  i pregunta de la realidad:  Estoy dependiendo de factores bajo mi control para lograr mi sueño!  SI ESTAS DEPENDIENDO DE LA SUERTE,I learned about the music business and asked the reality: I am depending on factors under my control to achieve my dream! IF YOU ARE DEPENDING ON THE LUCK
800, LO \xdaNICO QUE PUEDO DECIRTE ES: BUENA SUERTE  Lei que el fisico Niels Bohr,THE ONLY THING I CAN SAY IS: GOOD LUCK I read that the physicist Niels Bohr
801, ganador del premio Nobel,Nobel prize winner
802, tenia una herradura clavada en una pared de su oficina. Cuando un visitante observo:  Seguramente un cientifico como tu no cree en tales supersticiones  Bohr replico : Por supuesto que no,He had a horseshoe stuck in a wall in his office. When a visitor observed: Surely a scientist like you does not believe in such superstitions Bohr replied: Of course not
803, pero me han dicho que trae suerte,but they told me it brings luck
804, creas o no creas en ella.  Si tu sueño depende mucho de la suerte,you believe or you do not believe in it. If your dream depends a lot on luck
805, entonces estas en aprietos. Si depende completamente de la suerte,then you are in trouble. If it depends completely on luck
806, entonces estas viviendo en la Tierra de la Fantasia. ===== -. ,then you are living in the Land of Fantasy. ===== -.
807,if  Si tu sueño depende mucho de la suerte,if If your dream depends a lot on luck
808, entonces estas en aprietos. Si depende completamente de la suerte,then you are in trouble. If it depends completely on luck
809, entonces estas viviendo en la Tierra de la Fantasia. Publio Siro,then you are living in the Land of Fantasy. Publio Siro
810, autor de maximas  53  !-Vive tu sueño!  54  cuales han lanzado quince discos a la fecha. Manchester Orchestra produjo y lanzo su primer album,Author of Maximas 53! -Live your dream! 54 which have released fifteen albums to date. Manchester Orchestra produced and released their first album
811, llamado I\'m Like a Virgin Losing a Child (Soy como una virgen que ha perdido un hijo),called I \ 'm Like a Virgin Losing a Child (I'm like a virgin who has lost a child)
812, y la banda se presento en The Late Show with David Letterman y en Late Night with Conan O\'Brien. En el 2007,and the band performed in The Late Show with David Letterman and Late Night with Conan O \ 'Brien. In 2007
813, Manchester Orchestra logro su meta de presentarse 250 veces durante el año,Manchester Orchestra achieved its goal of performing 250 times during the year
814, y para principios del 2008,and for early 2008
815, el grupo se prepara para ir de gira por el Reino Unido por cuarta vez. Tambien estan trabajando en su segundo album.  Sharon,the group is preparing to tour the United Kingdom for the fourth time. They are also working on their second album. Sharon
816, la madre de Andy,Andy's mother
817, dice que todo lo que el ha deseado ha sucedido,says that everything he has wished has happened
818, y esta listo para empezar a pensar en su proximo sueño grande. No me cabe duda de que sera capaz de alcanzarlo.  latinas,and you're ready to start thinking about your next big dream. I have no doubt that he will be able to reach it. latinas
819, observo: Es una cosa muy mala acostumbrarse a la buena suerte. Los soñadores de la peor clase,I observe: It is a very bad thing to get used to good luck. Dreamers of the worst kind
820, tal como los peores concur- santes en American Ldol,just like the worst contestants in American Ldol
821, dependen casi completamente de la suerte para cumplir sus sueños. Tienen mentalidad de loteria. Creen que si de alguna manera se presenran en el lugar correcto,they depend almost completely on luck to fulfill their dreams. They have a lottery mentality. They believe that if they somehow show up in the right place
822, en el momento correcto con el numero correcto,at the right time with the right number
823, entonces !-sorpresa! Su fantasia se convertira en realidad.  No seria fabuloso si fuera asi de facil? Pero por supuesto que no lo es. El poeta y filosofo Ralph Waldo Emerson observo: Los hombres superficiales creen en la suerte... Los hombres fuertes creen en causa y efecto.  i Los hombres superficiales creen en la suerte... Los  hombres fuertes creen en causa y efecto.    RALPH WALDO EMERSON I* .... ,and effect. RALPH WALDO EMERSON I * ....
824, ,Traducción
825, .... v \x99  A medida que avanzas en la busqueda de tu sueño,.... v \ x99 As you progress in the search for your dream
826, es necesa- rio que te hagas la pregunta de la realidad:  Estoy dependiendo de factores bajo mi control para lograr mi sueño? Las personas que construyen sus sueños sobre la realidad tienen un enfoque muy dife- rente en cuanto a los sueños del que tienen las personas que viven en la Tierra de la Fantasia. Mira las diferencias en su enfoque para lograr sus sueños:  SOÑADORES ... CONSTRUCTORES DE SUEÑOS...  Dependen de la suerte. Dependen de la disciplina.  Se enfocan en el destino. Se enfocan en el viaje.  La pregunta de la realidad:  Estoy dependiendo de factores bajo mi control para lograr mi sueño?  Cultivan expectativas Cultivan una inconformidad saludable. poco saludables.  Menosprecian el valor Maximizan el ttabajo que hacen. del ttabajo.  Buscan excusas. Conducen a la accion. Crean inercia. Generan impulso. Engendran aislamiento. Promueven el trabajo en equipo. Espetan. Inician. Evitan los riesgos Aceptan los riesgos segun sea necesario. personales.  Responsabilizan a Se hacen responsables. los demas.  Las personas que a la larga logran el exito no dejan todo a la suerte. Se enfocan en lo que pueden hacer,Those who achieve success in the long run do not leave everything to chance. They focus on what they can do
827, y lo hacen. Uno de mis heroes es John Wooden,and they do it. One of my heroes is John Wooden
828, el ya jubilado y altamente exitoso entrena- dor de baloncesto de UCLA. Es un modelo perfecto de este tipo de enfoque en la vida. El entrenador Wooden no dejaba nada a la suerte. Antes de una practica,the already retired and highly successful UCLA basketball coach. It is a perfect model of this kind of approach in life. Coach Wooden left nothing to chance. Before a practice
829, escribia con detalle todo lo que sus jugadores harian en fichas. Empezo a hacer esto cuando era entrenador en South Bend Central College y continuo haciendolo en Indiana State y UCLA.  Por que se tomaba esa molestia? Porque no le gustaba des- perdiciar el tiempo y no queria dejar el exito del equipo a la suerte. Queria lograr sus metas por medio de la preparacion.  Wooden ha dicho: Le doy la bienvenida a la buena suerte tal como cualquier otro lo haria,He wrote in detail everything his players would do in chips. He started doing this when he was a coach at South Bend Central College and continued to do so at Indiana State and UCLA. Why did he take that trouble? Because he did not like to waste time and did not want to leave the success of the team to chance. I wanted to achieve your goals through preparation. Wooden said: I welcome good luck just like anyone else would.
830, pero trabaje duramente para evitar hallarme en una situacion en la cual la suerte era necesaria para producir un resultado favorable,but I worked hard to avoid finding myself in a situation in which luck was necessary to produce a favorable result
831, o en la cual la suerte de un adversario pudiera  55  !-Vive tu sueño!  56  vencernos. Para mi,or in which the luck of an adversary could 55! -Live your dream! 56 beat us. For me
832, el residuo de un plan,the remainder of a plan
833, la suerte,luck
834, puede ser impor- tante. Pero,It can be important. But
835, por supuesto,Of course
836, mucho mas importante es el plan. 1 El entrenador Wooden me dijo este principio en otras palabras cuando nos reunimos un dia para almorzar. John,much more important is the plan. 1 Coach Wooden told me this principle in other words when we met one day for lunch. John
837, me dijo,he told me
838, nunca le quitamos el ojo a la bola de baloncesto para empezar a mirar la bola de cristal. Si quieres vivir tu sueño,We never take our eyes off the basketball to start looking at the crystal ball. If you want to live your dream
839, es necesario que desarrolles una actitud similar,It is necessary that you develop a similar attitude
840, enfocandote en lo que puedes hacer y no en lo que otros,focusing on what you can do and not on what others
841, el destino o la suerte deben hacer para que logres el exito.  LEE LA LETRA PEQUEÑA  La columnista Ann Landers escribio: Las gafas de color rosa nunca vienen con lentes bifocales. Nadie quiere leer la letra pequeña de los sueños.  Cual es la letra pequeña cuando de rus sueños se trata? La letra pequeña es la realidad. Si quieres lograr tu sueño,destiny or luck must do to achieve success. READ THE SMALL LETTER Columnist Ann Landers wrote: Pink glasses never come with bifocals. Nobody wants to read the fine print of dreams. What is the fine print when it comes to your dreams? The fine print is reality. If you want to achieve your dream
842, tendras que leer la letra pequeña que se menciona en tantos refranes. Cuando lo hagas,You will have to read the fine print that is mentioned in so many sayings. When you do it
843, estas son algunas de las cosas que hallaras:  El viaje tomara mas tiempo del que esperabas. Los obstaculos seran mas numerosos de lo que creias. Los desencantos seran mayores que lo que suponias. Los puntos bajos seran mas bajos de lo que imaginabas. El precio sera mas alto de lo que anticipabas.  Con todo eso en tu contra,These are some of the things you will find: The trip will take longer than you expected. The obstacles will be more numerous than you thought. The disappointments will be greater than what you assumed. The low points will be lower than you imagined. The price will be higher than you anticipated. With all that against you
844, !-es imperativo que dependas de factores dentro de tu control para poder lograr tu sueño!  La pregunta de la realidad:  Estoy dependiendo de factores bajo mi control para lograr mi sueño?  Las gafas de color rosa nunca vienen con lentes bifoca-  les. Nadie quiere leer la letra pequeña de los sueños.   ANN LANDERS  Asi como todo el que firma un contrato legal no puede darse el lujo de pasar por alto ni ignorar la letra pequeña,! -It is imperative that you depend on factors within your control to achieve your dream! The reality question: Am I depending on factors under my control to achieve my dream? Pink glasses never come with bifocals. Nobody wants to read the fine print of dreams. ANN LANDERS Just as anyone who signs a legal contract can not afford to ignore or ignore the fine print
845, un individuo con un sueño no puede darse el lujo de pasar por alto ni ignorar la realidad. Si lo haces,An individual with a dream can not afford to ignore or ignore reality. If you do
846, son muy altas las probabilidades de que en algun punto de la busqueda de tu sueño,the chances are very high that at some point in the search for your dream
847, la realidad te detendra abruptamente en tu camino y no podras dar un paso mas en tu viaje.   COMO RESPONDES A LA REALIDAD?  Una de las grandes ironias de la vida es que es necesario estar conec- tado con la realidad y al mismo tiempo no permitir que nuestros sueños sean desechos. Dependiendo de quien seas y cual sea tu sueño,reality will abruptly stop you on your way and you will not be able to take another step on your journey. HOW DO YOU RESPOND TO REALITY? One of the great ironies of life is that it is necessary to be connected with reality and at the same time not allow our dreams to be waste. Depending on who you are and what your dream is
848, eso podria ser cosa dificil o facil. Cada persona es diferente. El escritor y humorista Sam Levenson reflexiono sobre la expe- riencia de sus padres que habian soñado con venir a Estados Unidos. Declaro: Mis padres son inmigrantes y cayeron bajo el hechizo de la leyenda estadounidense de que las calles estaban pavimentadas con oro. Cuando mi papa llego,that could be difficult or easy. Each person is different. Writer and comedian Sam Levenson reflects on the experience of his parents who had dreamed of coming to the United States. I declare: My parents are immigrants and they fell under the spell of the American legend that the streets were paved with gold. When my dad arrived
